"name","num","m1","m1time","lp1","lp1time","l1","l1time","l2","l2time","lc1","lc1time","lc2","lc2time","lc3","lc3time","m2","m2time","m3","m3time","rcmax","rcmaxtime"
"heskia",66,4.39934,0.02334,32.4245,6.50883e-05,30.7612,6.38962e-05,34,0.000344992,31,7.86781e-06,31,2.86102e-06,26,3.8147e-06,32.3527,0.0324409,34.2644,0.024018,30.7954,0.000765085
"heskia",67,6.97142,0.0229731,51.3723,0.000118017,48.3418,8.98838e-05,48,0.00105095,87,9.05991e-06,87,5.00679e-06,43,5.96046e-06,49.4661,0.0319941,51.4061,0.0395939,48.7999,0.00130796
"heskia",68,5.09011,0.025115,35.7675,5.60284e-05,34.961,4.19617e-05,40,0.000416994,33,6.91414e-06,32,2.86102e-06,33,4.05312e-06,38.684,0.0168791,46.8456,0.023062,35.6308,0.000797033
"heskia",69,6.3671,0.0229552,45.6983,4.69685e-05,42.5956,3.60012e-05,57,0.000386,58,5.00679e-06,58,3.09944e-06,40,5.00679e-06,46.9601,0.0292048,49.1238,0.015516,44.5697,0.000693083
"heskia",70,6.70435,0.03052,51.9991,5.29289e-05,46.4593,3.60012e-05,53,0.000502825,79,5.96046e-06,79,3.8147e-06,1,4.05312e-06,51.2883,0.0245731,55.6618,0.0181859,46.9304,0.000643969
"heskia",71,7.61056,0.0244331,62.3041,0.000109911,53.0366,8.32081e-05,70,0.000959158,91,1.00136e-05,91,5.00679e-06,49,6.91414e-06,54.1605,0.0386529,58.0864,0.0328,53.274,0.00116611
"heskia",72,6.10679,0.030313,44.4171,4.19617e-05,42.325,3.09944e-05,46,0.000422955,40,5.00679e-06,35,4.05312e-06,1,3.8147e-06,47.1918,0.0317628,54.2326,0.0303421,42.7476,0.000751972
"heskia",73,7.98693,0.0186751,58.7966,5.10216e-05,55.7743,3.71933e-05,62,0.000437021,59,5.00679e-06,59,3.8147e-06,1,3.8147e-06,57.4255,0.016793,60.4657,0.0173261,55.9085,0.000608921
"heskia",74,5.93345,0.0172341,50.0858,4.22001e-05,40.0584,3.29018e-05,52,0.000348091,57,5.00679e-06,57,3.09944e-06,1,4.05312e-06,44.3,0.0189321,45.0042,0.0128119,41.5341,0.000671864
"heskia",75,6.9381,0.0317879,51.1523,5.10216e-05,48.3177,3.91006e-05,52,0.000412941,51,5.00679e-06,51,2.86102e-06,1,4.05312e-06,49.8389,0.018187,54.179,0.0178709,48.5667,0.000725985
"heskia",76,7.67305,0.0232599,55.9153,5.6982e-05,53.4805,4.60148e-05,55,0.000406981,55,3.8147e-06,55,4.05312e-06,1,3.8147e-06,56.0328,0.0183399,58.9257,0.0227289,53.7113,0.000725031
"heskia",77,7.65741,0.0260961,55.914,5.10216e-05,53.543,3.79086e-05,57,0.000406027,48,5.00679e-06,47,2.86102e-06,1,3.8147e-06,55.4556,0.018507,55.9187,0.01899,53.6019,0.00067687
"heskia",78,5.5773,0.026438,49.7418,4.60148e-05,38.8742,3.60012e-05,50,0.000362873,52,5.00679e-06,52,4.05312e-06,35,4.05312e-06,40.16,0.030869,43.7088,0.0232561,39.0411,0.000717163
"heskia",79,4.65797,0.0199721,39.1546,4.19617e-05,32.3935,3.50475e-05,40,0.000330925,45,4.76837e-06,45,2.86102e-06,1,3.8147e-06,34.8273,0.041605,38.6579,0.0421479,32.6058,0.000815868
"heskia",80,8.06539,0.0259759,63.9121,6.00815e-05,56.3764,4.69685e-05,60,0.000432014,52,5.00679e-06,52,4.05312e-06,51,4.05312e-06,60.1743,0.0174608,63.3111,0.0272031,56.4577,0.000640154
"roszieg",1,2.85,0.00952291,11.4,2.40803e-05,11.4,3.00407e-05,12,0.000377893,12,8.10623e-06,7,3.09944e-06,9,5.00679e-06,12.1744,0.00330782,15.2912,0.0297339,11.4,0.000530005
"roszieg",2,3.26503,0.00679207,13.0601,1.78814e-05,13.0601,2.09808e-05,14,0.000236988,13,6.19888e-06,9,3.09944e-06,12,4.05312e-06,13.9429,0.00238585,16.8529,0.028059,13.0601,0.00037694
"roszieg",3,3.125,0.00518322,12.5,1.81198e-05,12.5,2.28882e-05,13,0.00030303,12,5.96046e-06,7,3.09944e-06,9,4.05312e-06,13.5214,0.002177,16.0882,0.0250399,12.5,0.000324965
"roszieg",4,2.90164,0.00894308,11.5385,2.09808e-05,11.5385,2.5034e-05,12,0.000292063,11,5.96046e-06,7,2.86102e-06,9,4.05312e-06,12.6388,0.00215888,15.5,0.0280271,11.6066,0.000334978
"roszieg",5,2.58537,0.00930119,10.3415,2.38419e-05,10.3415,2.90871e-05,11,0.000219822,10,5.96046e-06,7,3.09944e-06,8,4.05312e-06,11.5172,0.00350904,14.723,0.026701,10.3415,0.000369072
"roszieg",6,3.63204,0.00716996,14.4592,1.88351e-05,14.4592,2.09808e-05,15,0.000253201,15,5.96046e-06,8,2.86102e-06,11,3.8147e-06,15.3324,0.00220513,18.2037,0.022516,14.5282,0.000349045
"roszieg",7,3.41667,0.00762415,13.6667,2.09808e-05,13.6667,2.5034e-05,14,0.000236034,13,7.86781e-06,8,2.86102e-06,11,5.00679e-06,14.0774,0.00216603,16.9422,0.0265541,13.6667,0.00036478
"roszieg",8,3.64583,0.00964499,14.5834,1.81198e-05,14.5833,2.00272e-05,15,0.000229836,14,5.00679e-06,9,3.09944e-06,12,4.05312e-06,15.0719,0.00223207,17.0283,0.0250838,14.5833,0.000372887
"roszieg",9,2.97458,0.0099678,11.8983,2.40803e-05,11.8983,2.71797e-05,12,0.000233889,11,5.00679e-06,8,3.09944e-06,9,4.05312e-06,12.736,0.00209594,15.0166,0.0216551,11.8983,0.000339031
"roszieg",10,3.07308,0.0100729,12.2923,2.69413e-05,12.2923,2.81334e-05,13,0.000222921,12,5.96046e-06,7,2.86102e-06,10,3.8147e-06,13.192,0.0022459,15.0941,0.021801,12.2923,0.000346899
"roszieg",11,2.95,0.00811386,11.7143,1.90735e-05,11.7143,2.00272e-05,13,0.000251055,12,5.96046e-06,7,3.09944e-06,9,4.05312e-06,12.9594,0.00215793,16.3814,0.016207,11.8,0.000320911
"roszieg",12,3.42105,0.00873995,13.6842,1.90735e-05,13.6842,2.00272e-05,14,0.000247002,14,5.00679e-06,8,2.86102e-06,12,4.05312e-06,14.2453,0.00219488,16.7632,0.017292,13.6842,0.000319004
"roszieg",13,4.25,0.00753999,16.9999,2.69413e-05,16.9999,2.21729e-05,17,0.000453949,16,3.8147e-06,9,3.09944e-06,13,4.05312e-06,17,0.0024271,76,0.00314498,17,0.000406981
